song,unlock_method
"BLUE FOG, SILVER BULLET.",BABY-LON'S GALAXY
Come To m1dy,BABY-LON'S GALAXY
Electronic Sports Complex,BABY-LON'S GALAXY
New Millennium,BABY-LON'S GALAXY
SISYPHUS,BABY-LON'S GALAXY
鳳,BABY-LON'S GALAXY
ｍｅｍｏｒｙ／／ＤＡＴＡＭＯＳＨＥＲ,BABY-LON'S GALAXY
BUTTERFLY (20th Anniversary Mix),COURSE TRIAL A3
CARTOON HEROES (20th Anniversary Mix),COURSE TRIAL A3
Come Back to Me (Feel It),COURSE TRIAL A3
Crystarium,COURSE TRIAL A3
Debug Dance,COURSE TRIAL A3
EMOTiON TRiPPER,COURSE TRIAL A3
Get it,COURSE TRIAL A3
HAVE YOU NEVER BEEN MELLOW (20th Anniversary Mix),COURSE TRIAL A3
LONG TRAIN RUNNIN' (20th Anniversary Mix),COURSE TRIAL A3
Next FUTURE,COURSE TRIAL A3
ON-DO,COURSE TRIAL A3
PERSIAN LAND,COURSE TRIAL A3
Phlox,COURSE TRIAL A3
SKY HIGH (20th Anniversary Mix),COURSE TRIAL A3
Urban Life,COURSE TRIAL A3
insist,COURSE TRIAL A3
melody H4CKER,COURSE TRIAL A3
とこにゃつ☆トロピカル,COURSE TRIAL A3
アドレナリン,COURSE TRIAL A3
メンタンピンドラドラ,COURSE TRIAL A3
羊皮紙の上の銀河,COURSE TRIAL A3
ANTI ANTHEM,EXTRA EXCLUSIVE
Deep tenDon Reflex,EXTRA EXCLUSIVE
Last Card,EXTRA EXCLUSIVE
THE ANCIENT KING IS BACK,EXTRA EXCLUSIVE
BONE BORN,EXTRA SAVIOR A3
DUAL STRIKER,EXTRA SAVIOR A3
Dance With The Dead,EXTRA SAVIOR A3
Good Sound United,EXTRA SAVIOR A3
I-W-U (I Want U),EXTRA SAVIOR A3
Indigo Nocturne,EXTRA SAVIOR A3
MANA,EXTRA SAVIOR A3
MA・TSU・RI,EXTRA SAVIOR A3
Metamorphic,EXTRA SAVIOR A3
ROCK THE PARTY,EXTRA SAVIOR A3
Snow Garland Fairy,EXTRA SAVIOR A3
Sparkle Dreams,EXTRA SAVIOR A3
Unreality,EXTRA SAVIOR A3
VOLAQUAS,EXTRA SAVIOR A3
White Stream,EXTRA SAVIOR A3
[ ]DENTITY,EXTRA SAVIOR A3
chaplet,EXTRA SAVIOR A3
mathematical good-bye,EXTRA SAVIOR A3
spring pony,EXTRA SAVIOR A3
みゅ、みゅ、Müllる,EXTRA SAVIOR A3
チュッチュ♪マチュピチュ,EXTRA SAVIOR A3
リリーゼと炎龍レーヴァテイン,EXTRA SAVIOR A3
恋愛観測 -2021真夏のエンディング ver.-,EXTRA SAVIOR A3
惑星☆ロリポップ,EXTRA SAVIOR A3
斑咲花,EXTRA SAVIOR A3
輪廻の鴉,EXTRA SAVIOR A3
